date,service,region,daily_cost,resource_count,provider
2025-01-05,CloudFront,eu-west-1,388.48,23,AWS
2025-01-05,CloudFront,ap-southeast-1,240.82,35,AWS
2025-01-05,ELB,us-east-1,527.56,17,AWS
2025-01-05,ELB,us-west-2,395.62,47,AWS
2025-01-05,ELB,eu-west-1,200.68,23,AWS
2025-01-05,ELB,ap-southeast-1,1002.78,33,AWS
2025-01-06,EC2,us-east-1,612.23,20,AWS
2025-01-06,EC2,us-west-2,814.51,32,AWS
2025-01-06,EC2,eu-west-1,889.96,34,AWS
2025-01-06,EC2,ap-southeast-1,736.5,28,AWS
2025-01-06,RDS,us-east-1,624.31,27,AWS
2025-01-06,RDS,us-west-2,691.25,1,AWS
2025-01-06,RDS,eu-west-1,596.01,38,AWS
2025-01-06,RDS,ap-southeast-1,829.2,36,AWS
2025-01-06,S3,us-east-1,181.34,33,AWS
2025-01-06,S3,us-west-2,528.84,34,AWS
2025-01-06,S3,eu-west-1,273.23,33,AWS
2025-01-06,S3,ap-southeast-1,547.1,43,AWS
2025-01-06,Lambda,us-east-1,490.58,11,AWS
2025-01-06,Lambda,us-west-2,828.23,38,AWS
2025-01-06,Lambda,eu-west-1,507.26,10,AWS
2025-01-06,Lambda,ap-southeast-1,585.33,34,AWS
2025-01-06,CloudFront,us-east-1,428.29,13,AWS
2025-01-06,CloudFront,us-west-2,842.28,23,AWS
2025-01-06,CloudFront,eu-west-1,722.76,40,AWS
2025-01-06,CloudFront,ap-southeast-1,340.54,21,AWS
2025-01-06,ELB,us-east-1,738.39,3,AWS
2025-01-06,ELB,us-west-2,720.47,9,AWS
2025-01-06,ELB,eu-west-1,745.52,45,AWS
2025-01-06,ELB,ap-southeast-1,663.19,38,AWS
2025-01-07,EC2,us-east-1,456.47,49,AWS
2025-01-07,EC2,us-west-2,908.74,7,AWS
2025-01-07,EC2,eu-west-1,178.78,35,AWS
2025-01-07,EC2,ap-southeast-1,756.98,21,AWS
2025-01-07,RDS,us-east-1,577.89,27,AWS
2025-01-07,RDS,us-west-2,381.67,28,AWS
2025-01-07,RDS,eu-west-1,660.9,29,AWS
2025-01-07,RDS,ap-southeast-1,684.47,50,AWS
2025-01-07,S3,us-east-1,822.18,33,AWS
2025-01-07,S3,us-west-2,1014.82,35,AWS
2025-01-07,S3,eu-west-1,961.34,16,AWS
2025-01-07,S3,ap-southeast-1,242.15,12,AWS
2025-01-07,Lambda,us-east-1,339.5,2,AWS
2025-01-07,Lambda,us-west-2,200.35,3,AWS
2025-01-07,Lambda,eu-west-1,261.01,12,AWS
2025-01-07,Lambda,ap-southeast-1,157.4,13,AWS
2025-01-07,CloudFront,us-east-1,820.26,36,AWS
2025-01-07,CloudFront,us-west-2,528.68,27,AWS
2025-01-07,CloudFront,eu-west-1,312.14,24,AWS
2025-01-07,CloudFront,ap-southeast-1,700.2,13,AWS
2025-01-07,ELB,us-east-1,535.16,35,AWS
2025-01-07,ELB,us-west-2,991.93,44,AWS
2025-01-07,ELB,eu-west-1,681.02,50,AWS
2025-01-07,ELB,ap-southeast-1,362.81,6,AWS
2025-01-08,EC2,us-east-1,749.05,8,AWS
2025-01-08,EC2,us-west-2,935.1,21,AWS
2025-01-08,EC2,eu-west-1,430.71,48,AWS
2025-01-08,EC2,ap-southeast-1,331.58,23,AWS
2025-01-08,RDS,us-east-1,985.14,50,AWS
2025-01-08,RDS,us-west-2,567.99,33,AWS
2025-01-08,RDS,eu-west-1,1017.37,27,AWS
2025-01-08,RDS,ap-southeast-1,651.28,36,AWS
2025-01-08,S3,us-east-1,697.99,32,AWS
2025-01-08,S3,us-west-2,528.67,1,AWS
2025-01-08,S3,eu-west-1,217.98,46,AWS
2025-01-08,S3,ap-southeast-1,1049.58,5,AWS
2025-01-08,Lambda,us-east-1,306.25,17,AWS
2025-01-08,Lambda,us-west-2,527.93,31,AWS
2025-01-08,Lambda,eu-west-1,402.87,2,AWS
2025-01-08,Lambda,ap-southeast-1,274.92,45,AWS
2025-01-08,CloudFront,us-east-1,480.34,40,AWS
2025-01-08,CloudFront,us-west-2,290.57,20,AWS
2025-01-08,CloudFront,eu-west-1,936.5,22,AWS
2025-01-08,CloudFront,ap-southeast-1,777.08,45,AWS
2025-01-08,ELB,us-east-1,241.0,4,AWS
2025-01-08,ELB,us-west-2,865.73,30,AWS
2025-01-08,ELB,eu-west-1,337.16,39,AWS
2025-01-08,ELB,ap-southeast-1,764.4,48,AWS
2025-01-09,EC2,us-east-1,598.57,15,AWS
2025-01-09,EC2,us-west-2,305.29,3,AWS
2025-01-09,EC2,eu-west-1,228.14,48,AWS
2025-01-09,EC2,ap-southeast-1,546.26,27,AWS
2025-01-09,RDS,us-east-1,845.26,26,AWS
2025-01-09,RDS,us-west-2,272.87,36,AWS
2025-01-09,RDS,eu-west-1,161.57,36,AWS
2025-01-09,RDS,ap-southeast-1,639.08,3,AWS
2025-01-09,S3,us-east-1,674.88,8,AWS
2025-01-09,S3,us-west-2,869.46,7,AWS
2025-01-09,S3,eu-west-1,1099.26,12,AWS
2025-01-09,S3,ap-southeast-1,551.35,2,AWS
2025-01-09,Lambda,us-east-1,435.32,48,AWS
2025-01-09,Lambda,us-west-2,154.83,28,AWS
2025-01-09,Lambda,eu-west-1,1007.7,41,AWS
2025-01-09,Lambda,ap-southeast-1,132.17,8,AWS
2025-01-09,CloudFront,us-east-1,407.68,15,AWS
2025-01-09,CloudFront,us-west-2,881.4,17,AWS
2025-01-09,CloudFront,eu-west-1,368.97,1,AWS
2025-01-09,CloudFront,ap-southeast-1,761.93,17,AWS
2025-01-09,ELB,us-east-1,881.93,23,AWS
2025-01-09,ELB,us-west-2,698.28,16,AWS
2025-01-09,ELB,eu-west-1,639.48,8,AWS
2025-01-09,ELB,ap-southeast-1,243.57,1,AWS
2025-01-10,EC2,us-east-1,471.03,10,AWS
2025-01-10,EC2,us-west-2,457.69,39,AWS
2025-01-10,EC2,eu-west-1,898.94,46,AWS
2025-01-10,EC2,ap-southeast-1,444.92,28,AWS
2025-01-10,RDS,us-east-1,512.74,26,AWS
2025-01-10,RDS,us-west-2,258.48,34,AWS
2025-01-10,RDS,eu-west-1,688.37,23,AWS
2025-01-10,RDS,ap-southeast-1,362.88,8,AWS
2025-01-10,S3,us-east-1,609.08,10,AWS
2025-01-10,S3,us-west-2,939.87,12,AWS
2025-01-10,S3,eu-west-1,675.46,20,AWS
2025-01-10,S3,ap-southeast-1,172.56,24,AWS
2025-01-10,Lambda,us-east-1,251.96,10,AWS
2025-01-10,Lambda,us-west-2,1007.94,32,AWS
2025-01-10,Lambda,eu-west-1,523.04,31,AWS
2025-01-10,Lambda,ap-southeast-1,883.25,3,AWS
2025-01-10,CloudFront,us-east-1,360.11,11,AWS
2025-01-10,CloudFront,us-west-2,358.54,3,AWS
2025-01-10,CloudFront,eu-west-1,590.98,13,AWS
2025-01-10,CloudFront,ap-southeast-1,512.16,21,AWS
2025-01-10,ELB,us-east-1,659.99,22,AWS
2025-01-10,ELB,us-west-2,640.95,36,AWS
2025-01-10,ELB,eu-west-1,321.0,24,AWS
2025-01-10,ELB,ap-southeast-1,191.59,22,AWS
2025-01-11,EC2,us-east-1,345.34,13,AWS
2025-01-11,EC2,us-west-2,149.12,37,AWS
2025-01-11,EC2,eu-west-1,728.03,5,AWS
2025-01-11,EC2,ap-southeast-1,897.82,42,AWS
2025-01-11,RDS,us-east-1,498.64,17,AWS
2025-01-11,RDS,us-west-2,191.45,38,AWS
2025-01-11,RDS,eu-west-1,610.7,41,AWS
2025-01-11,RDS,ap-southeast-1,473.88,15,AWS
2025-01-11,S3,us-east-1,307.1,41,AWS
2025-01-11,S3,us-west-2,476.38,6,AWS
2025-01-11,S3,eu-west-1,266.44,33,AWS
2025-01-11,S3,ap-southeast-1,1051.97,3,AWS
2025-01-11,Lambda,us-east-1,1056.77,8,AWS
2025-01-11,Lambda,us-west-2,538.22,23,AWS
2025-01-11,Lambda,eu-west-1,575.67,46,AWS
2025-01-11,Lambda,ap-southeast-1,107.67,20,AWS
2025-01-11,CloudFront,us-east-1,518.16,27,AWS
2025-01-11,CloudFront,us-west-2,838.45,4,AWS
2025-01-11,CloudFront,eu-west-1,747.36,43,AWS
2025-01-11,CloudFront,ap-southeast-1,218.86,18,AWS
2025-01-11,ELB,us-east-1,638.46,33,AWS
2025-01-11,ELB,us-west-2,356.46,18,AWS
2025-01-11,ELB,eu-west-1,318.26,42,AWS
2025-01-11,ELB,ap-southeast-1,552.87,22,AWS
2025-01-12,EC2,us-east-1,466.6,12,AWS
2025-01-12,EC2,us-west-2,731.89,21,AWS
2025-01-12,EC2,eu-west-1,921.13,49,AWS
2025-01-12,EC2,ap-southeast-1,312.65,50,AWS
2025-01-12,RDS,us-east-1,452.81,41,AWS
2025-01-12,RDS,us-west-2,529.13,33,AWS
2025-01-12,RDS,eu-west-1,269.52,45,AWS
2025-01-12,RDS,ap-southeast-1,652.37,22,AWS
2025-01-12,S3,us-east-1,167.43,47,AWS
2025-01-12,S3,us-west-2,772.64,20,AWS
2025-01-12,S3,eu-west-1,679.33,27,AWS
2025-01-12,S3,ap-southeast-1,666.38,44,AWS
2025-01-12,Lambda,us-east-1,475.01,30,AWS
2025-01-12,Lambda,us-west-2,855.66,18,AWS
2025-01-12,Lambda,eu-west-1,771.92,22,AWS
2025-01-12,Lambda,ap-southeast-1,358.89,46,AWS
2025-01-12,CloudFront,us-east-1,896.76,44,AWS
2025-01-12,CloudFront,us-west-2,938.11,17,AWS
2025-01-12,CloudFront,eu-west-1,728.69,34,AWS
2025-01-12,CloudFront,ap-southeast-1,143.06,34,AWS
2025-01-12,ELB,us-east-1,377.16,22,AWS
2025-01-12,ELB,us-west-2,450.48,32,AWS
2025-01-12,ELB,eu-west-1,927.74,46,AWS
2025-01-12,ELB,ap-southeast-1,205.75,6,AWS
2025-01-13,EC2,us-east-1,773.34,25,AWS
2025-01-13,EC2,us-west-2,845.0,4,AWS
2025-01-13,EC2,eu-west-1,451.54,31,AWS
2025-01-13,EC2,ap-southeast-1,265.53,24,AWS
2025-01-13,RDS,us-east-1,621.99,39,AWS
2025-01-13,RDS,us-west-2,774.31,36,AWS
2025-01-13,RDS,eu-west-1,333.88,47,AWS
2025-01-13,RDS,ap-southeast-1,939.93,5,AWS
2025-01-13,S3,us-east-1,954.13,40,AWS
2025-01-13,S3,us-west-2,747.81,30,AWS
2025-01-13,S3,eu-west-1,537.39,44,AWS
2025-01-13,S3,ap-southeast-1,407.14,34,AWS
2025-01-13,Lambda,us-east-1,703.17,37,AWS
2025-01-13,Lambda,us-west-2,465.31,31,AWS
2025-01-13,Lambda,eu-west-1,1055.39,11,AWS
2025-01-13,Lambda,ap-southeast-1,688.1,22,AWS
2025-01-13,CloudFront,us-east-1,1002.78,29,AWS
2025-01-13,CloudFront,us-west-2,946.22,12,AWS
2025-01-13,CloudFront,eu-west-1,587.19,14,AWS
2025-01-13,CloudFront,ap-southeast-1,949.91,17,AWS
2025-01-13,ELB,us-east-1,1043.36,39,AWS
2025-01-13,ELB,us-west-2,378.34,5,AWS
2025-01-13,ELB,eu-west-1,879.78,31,AWS
2025-01-13,ELB,ap-southeast-1,791.94,43,AWS
2025-01-14,EC2,us-east-1,992.22,49,AWS
2025-01-14,EC2,us-west-2,379.93,47,AWS
2025-01-14,EC2,eu-west-1,349.42,12,AWS
2025-01-14,EC2,ap-southeast-1,833.63,29,AWS
2025-01-14,RDS,us-east-1,403.08,50,AWS
2025-01-14,RDS,us-west-2,997.03,46,AWS
2025-01-14,RDS,eu-west-1,1094.77,35,AWS
2025-01-14,RDS,ap-southeast-1,830.39,9,AWS
2025-01-14,S3,us-east-1,960.6,28,AWS
2025-01-14,S3,us-west-2,155.43,39,AWS
2025-01-14,S3,eu-west-1,349.08,18,AWS
2025-01-14,S3,ap-southeast-1,589.92,10,AWS
2025-01-14,Lambda,us-east-1,122.75,42,AWS
2025-01-14,Lambda,us-west-2,690.74,17,AWS
2025-01-14,Lambda,eu-west-1,194.64,25,AWS
2025-01-14,Lambda,ap-southeast-1,312.06,34,AWS
2025-01-14,CloudFront,us-east-1,363.77,11,AWS
2025-01-14,CloudFront,us-west-2,783.44,4,AWS
2025-01-14,CloudFront,eu-west-1,716.21,42,AWS
2025-01-14,CloudFront,ap-southeast-1,316.76,43,AWS
2025-01-14,ELB,us-east-1,448.54,7,AWS
2025-01-14,ELB,us-west-2,358.64,31,AWS
2025-01-14,ELB,eu-west-1,452.97,21,AWS
2025-01-14,ELB,ap-southeast-1,987.95,12,AWS
2025-01-15,EC2,us-east-1,490.74,32,AWS
2025-01-15,EC2,us-west-2,886.22,27,AWS
2025-01-15,EC2,eu-west-1,385.38,38,AWS
2025-01-15,EC2,ap-southeast-1,348.76,28,AWS
2025-01-15,RDS,us-east-1,261.36,29,AWS
2025-01-15,RDS,us-west-2,601.66,35,AWS
2025-01-15,RDS,eu-west-1,241.37,1,AWS
2025-01-15,RDS,ap-southeast-1,524.13,22,AWS
2025-01-15,S3,us-east-1,1007.72,36,AWS
2025-01-15,S3,us-west-2,477.18,12,AWS
2025-01-15,S3,eu-west-1,603.38,19,AWS
2025-01-15,S3,ap-southeast-1,602.04,6,AWS
2025-01-15,Lambda,us-east-1,491.22,19,AWS
2025-01-15,Lambda,us-west-2,895.22,39,AWS
2025-01-15,Lambda,eu-west-1,1093.55,4,AWS
2025-01-15,Lambda,ap-southeast-1,1099.18,43,AWS
2025-01-15,CloudFront,us-east-1,746.17,33,AWS
2025-01-15,CloudFront,us-west-2,997.04,16,AWS
2025-01-15,CloudFront,eu-west-1,402.73,32,AWS
2025-01-15,CloudFront,ap-southeast-1,526.7,44,AWS
2025-01-15,ELB,us-east-1,434.79,9,AWS
2025-01-15,ELB,us-west-2,515.44,13,AWS
2025-01-15,ELB,eu-west-1,612.51,41,AWS
2025-01-15,ELB,ap-southeast-1,732.18,45,AWS
2025-01-16,EC2,us-east-1,812.6,5,AWS
2025-01-16,EC2,us-west-2,550.8,41,AWS
2025-01-16,EC2,eu-west-1,112.3,35,AWS
2025-01-16,EC2,ap-southeast-1,739.09,33,AWS
2025-01-16,RDS,us-east-1,638.81,50,AWS
2025-01-16,RDS,us-west-2,650.25,36,AWS
2025-01-16,RDS,eu-west-1,538.02,3,AWS
2025-01-16,RDS,ap-southeast-1,968.58,38,AWS
2025-01-16,S3,us-east-1,277.57,35,AWS
2025-01-16,S3,us-west-2,595.09,1,AWS
2025-01-16,S3,eu-west-1,745.79,4,AWS
2025-01-16,S3,ap-southeast-1,494.67,45,AWS
2025-01-16,Lambda,us-east-1,743.21,21,AWS
2025-01-16,Lambda,us-west-2,1075.3,40,AWS
2025-01-16,Lambda,eu-west-1,964.18,23,AWS
2025-01-16,Lambda,ap-southeast-1,611.56,22,AWS
2025-01-16,CloudFront,us-east-1,812.58,35,AWS
2025-01-16,CloudFront,us-west-2,267.06,46,AWS
2025-01-16,CloudFront,eu-west-1,734.37,25,AWS
2025-01-16,CloudFront,ap-southeast-1,504.2,45,AWS
2025-01-16,ELB,us-east-1,847.38,28,AWS
2025-01-16,ELB,us-west-2,696.42,27,AWS
2025-01-16,ELB,eu-west-1,124.61,33,AWS
2025-01-16,ELB,ap-southeast-1,471.24,43,AWS
2025-01-17,EC2,us-east-1,801.23,11,AWS
2025-01-17,EC2,us-west-2,678.54,40,AWS
2025-01-17,EC2,eu-west-1,726.81,21,AWS
2025-01-17,EC2,ap-southeast-1,308.43,17,AWS
2025-01-17,RDS,us-east-1,324.27,32,AWS
2025-01-17,RDS,us-west-2,150.92,29,AWS
2025-01-17,RDS,eu-west-1,608.47,47,AWS
2025-01-17,RDS,ap-southeast-1,983.39,38,AWS
2025-01-17,S3,us-east-1,794.36,50,AWS
2025-01-17,S3,us-west-2,823.17,7,AWS
2025-01-17,S3,eu-west-1,772.1,3,AWS
2025-01-17,S3,ap-southeast-1,539.1,5,AWS
2025-01-17,Lambda,us-east-1,380.44,44,AWS
2025-01-17,Lambda,us-west-2,329.41,38,AWS
2025-01-17,Lambda,eu-west-1,214.94,16,AWS
2025-01-17,Lambda,ap-southeast-1,1034.17,50,AWS
2025-01-17,CloudFront,us-east-1,166.9,40,AWS
2025-01-17,CloudFront,us-west-2,400.66,9,AWS
2025-01-17,CloudFront,eu-west-1,281.38,44,AWS
2025-01-17,CloudFront,ap-southeast-1,245.48,17,AWS
2025-01-17,ELB,us-east-1,371.05,15,AWS
2025-01-17,ELB,us-west-2,828.83,31,AWS
2025-01-17,ELB,eu-west-1,653.28,2,AWS
2025-01-17,ELB,ap-southeast-1,444.61,42,AWS
2025-01-18,EC2,us-east-1,565.15,38,AWS
2025-01-18,EC2,us-west-2,582.23,37,AWS
2025-01-18,EC2,eu-west-1,419.78,6,AWS
2025-01-18,EC2,ap-southeast-1,303.63,34,AWS
2025-01-18,RDS,us-east-1,274.54,16,AWS
2025-01-18,RDS,us-west-2,254.46,22,AWS
2025-01-18,RDS,eu-west-1,657.44,48,AWS
2025-01-18,RDS,ap-southeast-1,322.13,45,AWS
2025-01-18,S3,us-east-1,326.29,25,AWS
2025-01-18,S3,us-west-2,477.06,11,AWS
2025-01-18,S3,eu-west-1,586.64,11,AWS
2025-01-18,S3,ap-southeast-1,482.02,15,AWS
2025-01-18,Lambda,us-east-1,1093.49,28,AWS
2025-01-18,Lambda,us-west-2,608.55,14,AWS
2025-01-18,Lambda,eu-west-1,726.4,16,AWS
2025-01-18,Lambda,ap-southeast-1,150.72,11,AWS
2025-01-18,CloudFront,us-east-1,629.31,20,AWS
2025-01-18,CloudFront,us-west-2,689.36,10,AWS
2025-01-18,CloudFront,eu-west-1,747.25,16,AWS
2025-01-18,CloudFront,ap-southeast-1,988.88,49,AWS
2025-01-18,ELB,us-east-1,662.92,46,AWS
2025-01-18,ELB,us-west-2,307.73,29,AWS
2025-01-18,ELB,eu-west-1,190.76,41,AWS
2025-01-18,ELB,ap-southeast-1,364.18,31,AWS
2025-01-19,EC2,us-east-1,199.04,16,AWS
2025-01-19,EC2,us-west-2,989.92,33,AWS
2025-01-19,EC2,eu-west-1,1020.37,11,AWS
2025-01-19,EC2,ap-southeast-1,111.86,40,AWS
2025-01-19,RDS,us-east-1,1137.02,18,AWS
2025-01-19,RDS,us-west-2,247.93,39,AWS
2025-01-19,RDS,eu-west-1,152.44,28,AWS
2025-01-19,RDS,ap-southeast-1,842.77,21,AWS
2025-01-19,S3,us-east-1,858.11,6,AWS
2025-01-19,S3,us-west-2,949.94,3,AWS
2025-01-19,S3,eu-west-1,216.99,44,AWS
2025-01-19,S3,ap-southeast-1,275.81,28,AWS
2025-01-19,Lambda,us-east-1,708.74,16,AWS
2025-01-19,Lambda,us-west-2,941.33,31,AWS
2025-01-19,Lambda,eu-west-1,648.66,48,AWS
2025-01-19,Lambda,ap-southeast-1,557.83,24,AWS
2025-01-19,CloudFront,us-east-1,645.87,44,AWS
2025-01-19,CloudFront,us-west-2,243.05,14,AWS
2025-01-19,CloudFront,eu-west-1,918.38,37,AWS
2025-01-19,CloudFront,ap-southeast-1,176.76,46,AWS
2025-01-19,ELB,us-east-1,443.61,48,AWS
2025-01-19,ELB,us-west-2,957.15,46,AWS
2025-01-19,ELB,eu-west-1,650.34,12,AWS
2025-01-19,ELB,ap-southeast-1,355.24,44,AWS
2025-01-20,EC2,us-east-1,593.22,8,AWS
2025-01-20,EC2,us-west-2,506.18,16,AWS
2025-01-20,EC2,eu-west-1,790.2,28,AWS
2025-01-20,EC2,ap-southeast-1,741.82,11,AWS
2025-01-20,RDS,us-east-1,701.74,18,AWS
2025-01-20,RDS,us-west-2,173.53,26,AWS
2025-01-20,RDS,eu-west-1,918.15,15,AWS
2025-01-20,RDS,ap-southeast-1,174.29,22,AWS
2025-01-20,S3,us-east-1,377.47,42,AWS
2025-01-20,S3,us-west-2,555.48,48,AWS
2025-01-20,S3,eu-west-1,902.42,7,AWS
2025-01-20,S3,ap-southeast-1,998.26,20,AWS
2025-01-20,Lambda,us-east-1,219.32,13,AWS
2025-01-20,Lambda,us-west-2,401.56,19,AWS
2025-01-20,Lambda,eu-west-1,655.31,19,AWS
2025-01-20,Lambda,ap-southeast-1,771.87,14,AWS
2025-01-20,CloudFront,us-east-1,797.51,49,AWS
2025-01-20,CloudFront,us-west-2,678.27,25,AWS
2025-01-20,CloudFront,eu-west-1,1070.17,44,AWS
2025-01-20,CloudFront,ap-southeast-1,270.54,17,AWS
2025-01-20,ELB,us-east-1,852.47,50,AWS
2025-01-20,ELB,us-west-2,969.2,5,AWS
2025-01-20,ELB,eu-west-1,825.78,43,AWS
2025-01-20,ELB,ap-southeast-1,447.32,16,AWS
2025-01-21,EC2,us-east-1,825.7,20,AWS
2025-01-21,EC2,us-west-2,865.05,15,AWS
2025-01-21,EC2,eu-west-1,820.37,11,AWS
2025-01-21,EC2,ap-southeast-1,718.89,38,AWS
2025-01-21,RDS,us-east-1,449.08,19,AWS
2025-01-21,RDS,us-west-2,806.81,27,AWS
2025-01-21,RDS,eu-west-1,623.44,19,AWS
2025-01-21,RDS,ap-southeast-1,443.37,48,AWS
2025-01-21,S3,us-east-1,272.06,37,AWS
2025-01-21,S3,us-west-2,817.51,30,AWS
2025-01-21,S3,eu-west-1,944.52,41,AWS
2025-01-21,S3,ap-southeast-1,846.74,19,AWS
